# number of spin vectors:       5
# iteration vector   S_X            S_Y            S_Z
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      2  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      3  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      4  0.0000000E+00  0.0000000E+00  0.1000000E+01

        10      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        10      1 -0.8730181E-03  0.0000000E+00  0.9999996E+00
        10      2 -0.8748084E-03 -0.3695246E-04  0.9999996E+00
        10      3 -0.8801800E-03 -0.7437596E-04  0.9999996E+00
        10      4 -0.9177976E-03 -0.1941805E-03  0.9999996E+00

        20      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        20      1 -0.1746035E-02  0.0000000E+00  0.9999985E+00
        20      2 -0.1749689E-02 -0.7346183E-04  0.9999985E+00
        20      3 -0.1760650E-02 -0.1478492E-03  0.9999984E+00
        20      4 -0.1837403E-02 -0.3857986E-03  0.9999982E+00

        30      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        30      1 -0.2619052E-02  0.0000000E+00  0.9999966E+00
        30      2 -0.2624594E-02 -0.1090977E-03  0.9999965E+00
        30      3 -0.2641222E-02 -0.2195415E-03  0.9999965E+00
        30      4 -0.2757676E-02 -0.5723437E-03  0.9999960E+00

        40      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        40      1 -0.3492066E-02  0.0000000E+00  0.9999939E+00
        40      2 -0.3499243E-02 -0.1434401E-03  0.9999939E+00
        40      3 -0.3520778E-02 -0.2885979E-03  0.9999938E+00
        40      4 -0.3671606E-02 -0.7513977E-03  0.9999930E+00

        50      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        50      1 -0.4365077E-02  0.0000000E+00  0.9999905E+00
        50      2 -0.4374059E-02 -0.1760843E-03  0.9999904E+00
        50      3 -0.4401008E-02 -0.3541941E-03  0.9999903E+00
        50      4 -0.4589733E-02 -0.9206278E-03  0.9999890E+00

        60      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        60      1 -0.5238085E-02  0.0000000E+00  0.9999863E+00
        60      2 -0.5248747E-02 -0.2066457E-03  0.9999862E+00
        60      3 -0.5280736E-02 -0.4155466E-03  0.9999860E+00
        60      4 -0.5504794E-02 -0.1077823E-02  0.9999843E+00

        70      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        70      1 -0.6111089E-02  0.0000000E+00  0.9999813E+00
        70      2 -0.6123279E-02 -0.2347642E-03  0.9999812E+00
        70      3 -0.6159851E-02 -0.4719241E-03  0.9999809E+00
        70      4 -0.6415979E-02 -0.1220944E-02  0.9999787E+00

        80      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        80      1 -0.6984089E-02  0.0000000E+00  0.9999756E+00
        80      2 -0.6997983E-02 -0.2601087E-03  0.9999755E+00
        80      3 -0.7039668E-02 -0.5226537E-03  0.9999751E+00
        80      4 -0.7331578E-02 -0.1348130E-02  0.9999722E+00

        90      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        90      1 -0.7857083E-02  0.0000000E+00  0.9999691E+00
        90      2 -0.7872439E-02 -0.2823806E-03  0.9999690E+00
        90      3 -0.7918510E-02 -0.5671302E-03  0.9999685E+00
        90      4 -0.8241162E-02 -0.1457719E-02  0.9999650E+00

       100      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       100      1 -0.8730071E-02  0.0000000E+00  0.9999619E+00
       100      2 -0.8746882E-02 -0.3013177E-03  0.9999617E+00
       100      3 -0.8797319E-02 -0.6048236E-03  0.9999611E+00
       100      4 -0.9150455E-02 -0.1548293E-02  0.9999569E+00

       110      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       110      1 -0.9603052E-02  0.0000000E+00  0.9999539E+00
       110      2 -0.9621412E-02 -0.3166973E-03  0.9999537E+00
       110      3 -0.9676491E-02 -0.6352847E-03  0.9999530E+00
       110      4 -0.1006213E-01 -0.1618678E-02  0.9999481E+00

       120      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       120      1 -0.1047603E-01  0.0000000E+00  0.9999451E+00
       120      2 -0.1049566E-01 -0.3283382E-03  0.9999449E+00
       120      3 -0.1055454E-01 -0.6581502E-03  0.9999441E+00
       120      4 -0.1096683E-01 -0.1667953E-02  0.9999385E+00

       130      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       130      1 -0.1134899E-01  0.0000000E+00  0.9999356E+00
       130      2 -0.1137001E-01 -0.3361039E-03  0.9999353E+00
       130      3 -0.1143308E-01 -0.6731488E-03  0.9999344E+00
       130      4 -0.1187450E-01 -0.1695489E-02  0.9999281E+00

       140      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       140      1 -0.1222195E-01  0.0000000E+00  0.9999253E+00
       140      2 -0.1224432E-01 -0.3399032E-03  0.9999250E+00
       140      3 -0.1231142E-01 -0.6801022E-03  0.9999240E+00
       140      4 -0.1278110E-01 -0.1700935E-02  0.9999169E+00

       150      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       150      1 -0.1309490E-01  0.0000000E+00  0.9999143E+00
       150      2 -0.1311839E-01 -0.3396916E-03  0.9999139E+00
       150      3 -0.1318887E-01 -0.6789280E-03  0.9999128E+00
       150      4 -0.1368217E-01 -0.1684211E-02  0.9999050E+00

       160      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       160      1 -0.1396784E-01  0.0000000E+00  0.9999024E+00
       160      2 -0.1399264E-01 -0.3354724E-03  0.9999020E+00
       160      3 -0.1406706E-01 -0.6696421E-03  0.9999008E+00
       160      4 -0.1458781E-01 -0.1645558E-02  0.9998922E+00

       170      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       170      1 -0.1484076E-01  0.0000000E+00  0.9998899E+00
       170      2 -0.1486669E-01 -0.3272956E-03  0.9998894E+00
       170      3 -0.1494448E-01 -0.6523563E-03  0.9998881E+00
       170      4 -0.1548892E-01 -0.1585479E-02  0.9998788E+00

       180      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       180      1 -0.1571368E-01  0.0000000E+00  0.9998765E+00
       180      2 -0.1574065E-01 -0.3152580E-03  0.9998761E+00
       180      3 -0.1582156E-01 -0.6272773E-03  0.9998746E+00
       180      4 -0.1638775E-01 -0.1504752E-02  0.9998646E+00

       190      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       190      1 -0.1658658E-01  0.0000000E+00  0.9998624E+00
       190      2 -0.1661475E-01 -0.2995022E-03  0.9998619E+00
       190      3 -0.1669922E-01 -0.5947070E-03  0.9998604E+00
       190      4 -0.1729046E-01 -0.1404454E-02  0.9998495E+00

       200      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       200      1 -0.1745948E-01  0.0000000E+00  0.9998476E+00
       200      2 -0.1748856E-01 -0.2802142E-03  0.9998470E+00
       200      3 -0.1757581E-01 -0.5550344E-03  0.9998454E+00
       200      4 -0.1818660E-01 -0.1285880E-02  0.9998338E+00

       210      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       210      1 -0.1833235E-01  0.0000000E+00  0.9998319E+00
       210      2 -0.1836243E-01 -0.2576218E-03  0.9998314E+00
       210      3 -0.1845265E-01 -0.5087339E-03  0.9998296E+00
       210      4 -0.1908421E-01 -0.1150578E-02  0.9998172E+00

       220      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       220      1 -0.1920522E-01  0.0000000E+00  0.9998156E+00
       220      2 -0.1923632E-01 -0.2319920E-03  0.9998149E+00
       220      3 -0.1932963E-01 -0.4563606E-03  0.9998131E+00
       220      4 -0.1998297E-01 -0.1000331E-02  0.9997998E+00

       230      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       230      1 -0.2007807E-01  0.0000000E+00  0.9997984E+00
       230      2 -0.2010995E-01 -0.2036269E-03  0.9997978E+00
       230      3 -0.2020558E-01 -0.3985389E-03  0.9997958E+00
       230      4 -0.2087537E-01 -0.8370748E-03  0.9997817E+00

       240      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       240      1 -0.2095090E-01  0.0000000E+00  0.9997805E+00
       240      2 -0.2098373E-01 -0.1728615E-03  0.9997798E+00
       240      3 -0.2108220E-01 -0.3359607E-03  0.9997777E+00
