# number of spin vectors:      29
# iteration vector   S_X            S_Y            S_Z
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      2  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      3  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      4  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      5  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      6  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      7  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      8  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      9  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     10  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     11  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     12  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     13  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     14  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     15  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     16  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     17  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     18  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     19  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     20  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     21  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     22  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     23  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     24  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     25  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     26  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     27  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     28  0.0000000E+00  0.0000000E+00  0.1000000E+01

         2      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         2      1  0.8848521E+00  0.0000000E+00 -0.4658721E+00
         2      2  0.8848610E+00  0.5129777E-05 -0.4658551E+00
         2      3  0.8848588E+00  0.3848665E-05 -0.4658593E+00
         2      4  0.8848566E+00  0.2566644E-05 -0.4658636E+00
         2      5  0.8848543E+00  0.1283745E-05 -0.4658678E+00
         2      6  0.8848521E+00  0.0000000E+00 -0.4658721E+00
         2      7  0.8848498E+00 -0.1284560E-05 -0.4658763E+00
         2      8  0.8848476E+00 -0.2569902E-05 -0.4658806E+00
         2      9  0.8848454E+00 -0.3855995E-05 -0.4658848E+00
         2     10  0.8848431E+00 -0.5142805E-05 -0.4658891E+00
         2     11  0.8848600E+00  0.3985093E-04 -0.4658570E+00
         2     12  0.8848580E+00  0.2988793E-04 -0.4658608E+00
         2     13  0.8848560E+00  0.1992542E-04 -0.4658646E+00
         2     14  0.8848540E+00  0.9962933E-05 -0.4658684E+00
         2     15  0.8848521E+00  0.0000000E+00 -0.4658721E+00
         2     16  0.8848501E+00 -0.9963848E-05 -0.4658758E+00
         2     17  0.8848482E+00 -0.1992909E-04 -0.4658795E+00
         2     18  0.8848463E+00 -0.2989621E-04 -0.4658831E+00
         2     19  0.8848444E+00 -0.3986571E-04 -0.4658867E+00
         2     20  0.8848644E+00 -0.8007289E-05 -0.4658487E+00
         2     21  0.8848613E+00 -0.6007586E-05 -0.4658545E+00
         2     22  0.8848582E+00 -0.4006469E-05 -0.4658604E+00
         2     23  0.8848552E+00 -0.2003939E-05 -0.4658662E+00
         2     24  0.8848521E+00  0.0000000E+00 -0.4658721E+00
         2     25  0.8848490E+00  0.2005347E-05 -0.4658779E+00
         2     26  0.8848459E+00  0.4012099E-05 -0.4658838E+00
         2     27  0.8848428E+00  0.6020254E-05 -0.4658896E+00
         2     28  0.8848398E+00  0.8029809E-05 -0.4658955E+00

         4      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         4      1 -0.8244558E+00  0.0000000E+00 -0.5659264E+00
         4      2 -0.8244375E+00  0.7048320E-05 -0.5659531E+00
         4      3 -0.8244420E+00  0.5283025E-05 -0.5659464E+00
         4      4 -0.8244466E+00  0.3519802E-05 -0.5659397E+00
         4      5 -0.8244512E+00  0.1758757E-05 -0.5659331E+00
         4      6 -0.8244558E+00  0.0000000E+00 -0.5659264E+00
         4      7 -0.8244603E+00 -0.1756360E-05 -0.5659197E+00
         4      8 -0.8244649E+00 -0.3510215E-05 -0.5659131E+00
         4      9 -0.8244695E+00 -0.5261455E-05 -0.5659064E+00
         4     10 -0.8244741E+00 -0.7009970E-05 -0.5658997E+00
         4     11 -0.8244433E+00  0.8498724E-04 -0.5659445E+00
         4     12 -0.8244465E+00  0.6372640E-04 -0.5659399E+00
         4     13 -0.8244496E+00  0.4247543E-04 -0.5659354E+00
         4     14 -0.8244527E+00  0.2123355E-04 -0.5659309E+00
         4     15 -0.8244558E+00  0.0000000E+00 -0.5659264E+00
         4     16 -0.8244588E+00 -0.2122603E-04 -0.5659220E+00
         4     17 -0.8244618E+00 -0.4244536E-04 -0.5659176E+00
         4     18 -0.8244648E+00 -0.6365883E-04 -0.5659133E+00
         4     19 -0.8244677E+00 -0.8486732E-04 -0.5659090E+00
         4     20 -0.8244258E+00  0.8265120E-05 -0.5659700E+00
         4     21 -0.8244333E+00  0.6193057E-05 -0.5659591E+00
         4     22 -0.8244408E+00  0.4124842E-05 -0.5659482E+00
         4     23 -0.8244483E+00  0.2060486E-05 -0.5659373E+00
         4     24 -0.8244558E+00  0.0000000E+00 -0.5659264E+00
         4     25 -0.8244632E+00 -0.2056605E-05 -0.5659155E+00
         4     26 -0.8244707E+00 -0.4109319E-05 -0.5659046E+00
         4     27 -0.8244782E+00 -0.6158134E-05 -0.5658937E+00
         4     28 -0.8244856E+00 -0.8203041E-05 -0.5658829E+00

         6      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         6      1 -0.1166702E+00  0.0000000E+00  0.9931707E+00
         6      2 -0.1167058E+00  0.2143885E-05  0.9931665E+00
         6      3 -0.1166969E+00  0.1601593E-05  0.9931676E+00
         6      4 -0.1166880E+00  0.1063695E-05  0.9931686E+00
         6      5 -0.1166791E+00  0.5299212E-06  0.9931697E+00
         6      6 -0.1166702E+00  0.0000000E+00  0.9931707E+00
         6      7 -0.1166613E+00 -0.5263395E-06  0.9931718E+00
         6      8 -0.1166524E+00 -0.1049369E-05  0.9931728E+00
         6      9 -0.1166436E+00 -0.1569361E-05  0.9931738E+00
         6     10 -0.1166347E+00 -0.2086587E-05  0.9931749E+00
         6     11 -0.1166785E+00 -0.1702386E-03  0.9931697E+00
         6     12 -0.1166763E+00 -0.1277047E-03  0.9931700E+00
         6     13 -0.1166742E+00 -0.8515484E-04  0.9931702E+00
         6     14 -0.1166722E+00 -0.4258719E-04  0.9931705E+00
         6     15 -0.1166702E+00  0.0000000E+00  0.9931707E+00
         6     16 -0.1166683E+00  0.4260856E-04  0.9931709E+00
         6     17 -0.1166665E+00  0.8524038E-04  0.9931711E+00
         6     18 -0.1166647E+00  0.1278974E-03  0.9931713E+00
         6     19 -0.1166630E+00  0.1705815E-03  0.9931715E+00
         6     20 -0.1167489E+00 -0.3244784E-06  0.9931615E+00
         6     21 -0.1167292E+00 -0.2331876E-06  0.9931638E+00
         6     22 -0.1167096E+00 -0.1485778E-06  0.9931661E+00
         6     23 -0.1166899E+00 -0.7079955E-07  0.9931684E+00
         6     24 -0.1166702E+00  0.0000000E+00  0.9931707E+00
         6     25 -0.1166506E+00  0.6367723E-07  0.9931730E+00
         6     26 -0.1166309E+00  0.1200921E-06  0.9931753E+00
         6     27 -0.1166113E+00  0.1691079E-06  0.9931776E+00
         6     28 -0.1165916E+00  0.2105920E-06  0.9931799E+00

         8      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         8      1  0.9331626E+00  0.0000000E+00 -0.3594546E+00
         8      2  0.9331733E+00 -0.1113608E-04 -0.3594267E+00
         8      3  0.9331706E+00 -0.8347028E-05 -0.3594337E+00
         8      4  0.9331679E+00 -0.5561376E-05 -0.3594407E+00
         8      5  0.9331652E+00 -0.2779056E-05 -0.3594477E+00
         8      6  0.9331626E+00  0.0000000E+00 -0.3594546E+00
         8      7  0.9331599E+00  0.2775862E-05 -0.3594616E+00
         8      8  0.9331572E+00  0.5548598E-05 -0.3594685E+00
